Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
69.989,0,-5,51.711
69.988,0,-2,51.7816
69.985,0,0,51.7097
69.977,0,2,51.6904
69.98,0,5,51.7323
69.98,0,10,51.7774
69.978,0,15,51.7441
69.98,0,20,51.7223
69.978,0,25,51.7447
69.98,0,30,51.7955
69.975,0,35,51.7762
69.976,0,40,51.8165
69.978,0,45,51.791
69.979,0,50,51.7835
69.978,0,55,51.7578
69.977,0,60,51.7662
69.981,0,65,51.7976
69.979,0,70,51.783
69.974,0,75,51.7804
69.979,0,77,51.7242
69.976,0,79,51.7578
69.98,0,81,51.8086
69.979,0,83,51.7889
69.982,0,85,51.7971
69.981,0,86,51.7845
69.981,0,87,51.7867
69.982,0,88,51.7877
69.977,0,89,51.7956
69.976,0,90,51.7908
69.975,0,91,51.8614
69.98,0,92,51.7908
69.978,0,93,51.8146
69.981,0,94,51.8259
69.977,0,95,51.7887
69.977,0,97,51.8653
69.979,0,99,51.8145
69.977,0,101,51.8194
69.979,0,103,51.8219
69.981,0,105,51.865
69.983,0,110,51.8299
69.978,0,115,51.8112
69.981,0,120,51.8045
69.98,0,125,51.8089
69.976,0,130,51.8223
69.976,0,135,51.8168
69.973,0,140,51.8488
69.984,0,145,51.8194
69.983,0,150,51.837
69.986,0,155,51.8233
69.976,0,160,51.8655
69.983,0,165,51.8387
69.993,0,170,51.808
69.978,0,175,51.8375
69.983,0,178,51.812
69.992,0,180,51.7685
69.986,0,182,51.7701
69.977,0,185,51.8543
69.984,0,190,51.8252
69.971,0,195,51.7916
69.978,0,200,51.7861
69.985,0,205,51.8071
69.975,0,210,51.8294
69.982,0,215,51.8001
69.979,0,220,51.8287
69.989,0,225,51.7833
69.978,0,230,51.7925
69.977,0,235,51.8344
69.985,0,240,51.8556
69.993,0.05,-5,50.9911
69.986,0.05,-2,51.0186
69.984,0.05,0,51.0086
69.981,0.05,2,51.0392
69.979,0.05,5,51.061
69.981,0.05,10,51.0471
69.979,0.05,15,51.1124
69.979,0.05,20,51.1169
69.979,0.05,25,51.1257
69.979,0.05,30,51.1501
69.978,0.05,35,51.0465
69.979,0.05,40,51.0705
69.979,0.05,45,50.9703
69.978,0.05,50,50.9681
69.981,0.05,55,50.9473
69.977,0.05,60,50.8845
69.981,0.05,65,50.7995
69.978,0.05,70,50.8111
69.977,0.05,75,50.6574
69.98,0.05,77,50.7546
69.978,0.05,79,50.7418
69.972,0.05,81,50.6905
69.972,0.05,83,50.6852
69.972,0.05,85,50.7331
69.975,0.05,86,50.6783
69.987,0.05,87,50.6526
69.98,0.05,88,50.6925
69.973,0.05,89,50.5872
69.975,0.05,90,50.7378
69.972,0.05,91,50.6329
69.984,0.05,92,50.6157
69.976,0.05,93,50.6511
69.97,0.05,94,50.6603
69.974,0.05,95,50.5211
69.988,0.05,97,50.3922
69.973,0.05,99,50.6427
69.988,0.05,101,50.5659
69.971,0.05,103,50.6167
69.972,0.05,105,50.5428
69.993,0.05,110,50.5251
69.984,0.05,115,50.5249
69.985,0.05,120,50.5384
69.983,0.05,125,50.5815
69.98,0.05,130,50.3984
69.996,0.05,135,50.3671
69.987,0.05,140,50.3985
69.986,0.05,145,50.449
69.998,0.05,150,50.4594
69.995,0.05,155,50.3836
70.011,0.05,160,50.3826
70.005,0.05,165,50.3934
70.019,0.05,170,50.3281
70.02,0.05,175,50.4082
70.01,0.05,178,50.349
70.011,0.05,180,50.5102
69.995,0.05,182,50.5285
70.004,0.05,185,50.4869
70.006,0.05,190,50.5405
70.009,0.05,195,50.653
70.011,0.05,200,50.4447
69.999,0.05,205,50.6115
69.995,0.05,210,50.6982
69.988,0.05,215,50.6742
69.988,0.05,220,50.6582
69.984,0.05,225,50.6618
69.979,0.05,230,50.7382
69.981,0.05,235,50.5715
69.977,0.05,240,50.6228
69.984,0.1,-5,48.4484
69.986,0.1,-2,48.4217
69.981,0.1,0,48.5612
69.98,0.1,2,48.5606
69.98,0.1,5,48.639
69.98,0.1,10,48.6828
69.98,0.1,15,48.657
69.981,0.1,20,48.6881
69.98,0.1,25,48.7161
69.977,0.1,30,48.6719
69.98,0.1,35,48.6484
69.977,0.1,40,48.5202
69.987,0.1,45,48.3794
69.982,0.1,50,48.2423
69.979,0.1,55,48.1998
69.984,0.1,60,48.0846
69.98,0.1,65,47.9366
69.976,0.1,70,47.8211
69.981,0.1,75,47.7082
69.986,0.1,77,47.7458
69.981,0.1,79,47.637
69.981,0.1,81,47.6379
69.979,0.1,83,47.6243
69.985,0.1,85,47.5433
69.982,0.1,86,47.5672
69.982,0.1,87,47.6294
69.982,0.1,88,47.5606
69.981,0.1,89,47.5729
69.983,0.1,90,47.5717
69.975,0.1,91,47.5672
69.978,0.1,92,47.6027
69.985,0.1,93,47.5936
69.979,0.1,94,47.545
69.986,0.1,95,47.5355
69.978,0.1,97,47.567
69.984,0.1,99,47.5366
69.977,0.1,101,47.5391
69.989,0.1,103,47.4889
69.973,0.1,105,47.617
69.978,0.1,110,47.4274
69.976,0.1,115,47.409
69.976,0.1,120,47.4491
69.986,0.1,125,47.4198
69.999,0.1,130,47.3726
70.002,0.1,135,47.3757
69.992,0.1,140,47.4012
69.996,0.1,145,47.3445
69.976,0.1,150,47.3584
69.977,0.1,155,47.3369
69.993,0.1,160,47.4191
69.989,0.1,165,47.4382
70.005,0.1,170,47.4088
70.007,0.1,175,47.4452
70.01,0.1,178,47.5174
70.007,0.1,180,47.5435
70.005,0.1,182,47.6066
70.007,0.1,185,47.6541
70.021,0.1,190,47.6689
70.022,0.1,195,47.7139
70.018,0.1,200,47.8021
70.016,0.1,205,47.7877
70.011,0.1,210,47.7537
70.009,0.1,215,47.7545
69.999,0.1,220,47.6889
69.99,0.1,225,47.6204
69.986,0.1,230,47.5268
69.987,0.1,235,47.4046
69.991,0.1,240,47.4133
69.984,0.2,-5,42.1825
69.983,0.2,-2,42.2149
69.985,0.2,0,42.2511
69.98,0.2,2,42.215
69.984,0.2,5,42.2691
69.98,0.2,10,42.2858
69.987,0.2,15,42.2709
69.986,0.2,20,42.2206
69.98,0.2,25,42.1424
69.985,0.2,30,42.0369
69.98,0.2,35,41.8061
69.982,0.2,40,41.5891
69.985,0.2,45,41.4284
69.986,0.2,50,41.1786
