Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
77.494,0,-5,27.1462
77.495,0,-2,27.1595
77.493,0,0,27.1458
77.493,0,2,27.1078
77.494,0,5,27.143
77.496,0,10,27.1003
77.495,0,15,27.1052
77.492,0,20,27.1314
77.491,0,25,27.1378
77.493,0,30,27.0926
77.493,0,35,27.0459
77.488,0,40,27.0906
77.492,0,45,27.1365
77.496,0,50,27.1089
77.495,0,55,27.0931
77.494,0,60,27.1447
77.496,0,65,27.129
77.494,0,70,27.0887
77.49,0,75,27.1535
77.494,0,77,27.1805
77.495,0,79,27.1023
77.492,0,81,27.1589
77.495,0,83,27.1722
77.492,0,85,27.1321
77.498,0,86,27.1277
77.499,0,87,27.1189
77.494,0,88,27.1038
77.494,0,89,27.197
77.496,0,90,27.1623
77.493,0,91,27.1469
77.49,0,92,27.1411
77.49,0,93,27.1759
77.493,0,94,27.1462
77.494,0,95,27.1159
77.5,0,97,27.1042
77.493,0,99,27.1153
77.495,0,101,27.159
77.489,0,103,27.135
77.502,0,105,27.1728
77.492,0,110,27.1385
77.494,0,115,27.1824
77.498,0,120,27.1594
77.492,0,125,27.2038
77.492,0,130,27.1636
77.487,0,135,27.2066
77.493,0,140,27.21
77.491,0,145,27.1722
77.487,0,150,27.2404
77.496,0,155,27.2068
77.497,0,160,27.138
77.494,0,165,27.1706
77.492,0,170,27.1337
77.494,0,175,27.1652
77.495,0,178,27.1781
77.494,0,180,27.126
77.496,0,182,27.1317
77.486,0,185,27.1931
77.495,0,190,27.1754
77.493,0,195,27.1588
77.499,0,200,27.1518
77.494,0,205,27.1698
77.491,0,210,27.1384
77.49,0,215,27.1434
77.497,0,220,27.1726
77.492,0,225,27.1599
77.491,0,230,27.1372
77.502,0,235,27.1509
77.492,0,240,27.1061
77.491,0.01,-5,27.0856
77.495,0.01,-2,27.0898
77.491,0.01,0,27.0851
77.496,0.01,2,27.0986
77.494,0.01,5,27.1027
77.494,0.01,10,27.0744
77.493,0.01,15,27.1414
77.493,0.01,20,27.1309
77.498,0.01,25,27.0879
77.493,0.01,30,27.0869
77.491,0.01,35,27.0737
77.49,0.01,40,27.129
77.491,0.01,45,27.0815
77.492,0.01,50,27.0575
77.495,0.01,55,27.0851
77.496,0.01,60,27.1308
77.496,0.01,65,27.1136
77.494,0.01,70,27.1132
77.491,0.01,75,27.1072
77.498,0.01,77,27.0546
